id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2024-06-04T04:49:01;REFUNDED;1116.69;CREDIT_CARD;whoa instantly;1
2;2024-06-04T16:21:49;REFUNDED;17057.4;CREDIT_CARD;yet;2
3;2024-06-03T16:59:47;PENDING;853.97;CREDIT_CARD;but promptly dazzle;3
4;2024-06-04T05:27:01;CANCELLED;1809.82;CREDIT_CARD;ha besides;4
5;2024-06-04T13:10:19;REFUNDED;1086.64;CREDIT_CARD;inasmuch;5
6;2024-06-04T11:49:10;CANCELLED;20093.08;IDEAL;like before;6
7;2024-06-03T17:40:19;COMPLETED;27990.52;CREDIT_CARD;upon though;7
8;2024-06-04T02:57:48;REFUNDED;25501.25;CREDIT_CARD;length;8
9;2024-06-03T16:39:21;REFUNDED;15777.76;CREDIT_CARD;timely unnaturally legging;9
10;2024-06-04T14:48:20;PENDING;25493.56;CREDIT_CARD;gosh;10
